"daylabel","year","month","day","hour","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count"
2,2011,1,2,13,1,0,0,2,14.76,17.425,66,8.9981,75
2,2011,1,2,14,1,0,0,3,14.76,17.425,76,12.998,59
2,2011,1,2,15,1,0,0,3,13.94,16.665,81,11.0014,74
2,2011,1,2,16,1,0,0,3,13.94,16.665,71,11.0014,76
2,2011,1,2,17,1,0,0,1,13.94,16.665,57,12.998,65
2,2011,1,2,18,1,0,0,2,14.76,16.665,46,22.0028,53
2,2011,1,2,19,1,0,0,1,13.12,14.395,42,30.0026,30
2,2011,1,2,20,1,0,0,1,12.3,13.635,39,23.9994,22
2,2011,1,2,21,1,0,0,1,10.66,11.365,44,22.0028,31
2,2011,1,2,22,1,0,0,1,9.84,10.605,44,19.9995,9
2,2011,1,2,23,1,0,0,1,9.02,11.365,47,11.0014,8
3,2011,1,3,0,1,0,1,1,9.02,9.85,44,23.9994,5
3,2011,1,3,1,1,0,1,1,8.2,8.335,44,27.9993,2
3,2011,1,3,2,1,0,1,1,7.38,7.5775,45.5,27.001,0
3,2011,1,3,3,1,0,1,1,7.38,7.5775,45.5,27.001,0
3,2011,1,3,4,1,0,1,1,6.56,6.82,47,26.0027,1
3,2011,1,3,5,1,0,1,1,6.56,6.82,47,19.0012,3
3,2011,1,3,6,1,0,1,1,5.74,5.305,50,26.0027,30
3,2011,1,3,7,1,0,1,1,5.74,6.82,50,12.998,64
3,2011,1,3,8,1,0,1,1,5.74,6.06,50,19.0012,154
3,2011,1,3,9,1,0,1,1,6.56,6.82,43,26.0027,88
3,2011,1,3,10,1,0,1,1,7.38,8.335,43,16.9979,44
3,2011,1,3,11,1,0,1,1,8.2,9.09,40,22.0028,51
3,2011,1,3,12,1,0,1,1,9.02,10.605,35,19.9995,61
3,2011,1,3,13,1,0,1,1,9.84,10.605,35,19.0012,61
3,2011,1,3,14,1,0,1,1,10.66,12.12,30,19.0012,77
3,2011,1,3,15,1,0,1,1,10.66,12.12,30,16.9979,72
3,2011,1,3,16,1,0,1,1,10.66,12.12,30,16.9979,76
3,2011,1,3,17,1,0,1,1,9.84,11.365,30,15.0013,157
3,2011,1,3,18,1,0,1,1,9.84,12.88,32,7.0015,157
3,2011,1,3,19,1,0,1,1,8.2,12.88,47,0,110
3,2011,1,3,20,1,0,1,1,8.2,11.365,47,7.0015,52
3,2011,1,3,21,1,0,1,1,7.38,9.85,64,8.9981,52
3,2011,1,3,22,1,0,1,1,5.74,7.575,69,8.9981,20
3,2011,1,3,23,1,0,1,1,7.38,10.605,55,7.0015,12
4,2011,1,4,0,1,0,1,1,6.56,9.09,55,7.0015,5
4,2011,1,4,1,1,0,1,1,6.56,9.09,59,7.0015,2
4,2011,1,4,2,1,0,1,1,5.74,7.575,63,8.9981,1
4,2011,1,4,3,1,0,1,1,5.74,8.3325,63,7.50065,0
4,2011,1,4,4,1,0,1,1,5.74,9.09,63,6.0032,2
4,2011,1,4,5,1,0,1,1,4.92,7.575,68,7.0015,4
4,2011,1,4,6,1,0,1,1,4.92,7.575,74,7.0015,36
4,2011,1,4,7,1,0,1,1,4.92,7.575,74,8.9981,94
4,2011,1,4,8,1,0,1,1,5.74,7.575,69,11.0014,179
4,2011,1,4,9,1,0,1,1,6.56,7.575,64,15.0013,100
4,2011,1,4,10,1,0,1,2,6.56,6.82,69,22.0028,42
4,2011,1,4,11,1,0,1,1,9.02,10.605,51,19.9995,57
4,2011,1,4,12,1,0,1,1,9.02,11.365,51,11.0014,78
4,2011,1,4,13,1,0,1,1,9.84,11.365,56,12.998,97
4,2011,1,4,14,1,0,1,1,10.66,12.88,52,15.0013,63
4,2011,1,4,15,1,0,1,1,11.48,13.635,52,16.9979,65
4,2011,1,4,16,1,0,1,1,12.3,14.395,49,16.9979,83
4,2011,1,4,17,1,0,1,1,11.48,13.635,48,15.0013,212
4,2011,1,4,18,1,0,1,1,10.66,12.88,48,12.998,182
4,2011,1,4,19,1,0,1,1,9.84,12.88,48,7.0015,112
4,2011,1,4,20,1,0,1,1,9.84,12.88,48,7.0015,54
4,2011,1,4,21,1,0,1,1,9.02,13.635,64,0,48
4,2011,1,4,22,1,0,1,1,9.02,12.88,64,6.0032,35
4,2011,1,4,23,1,0,1,1,8.2,11.365,69,6.0032,11
5,2011,1,5,0,1,0,1,1,8.2,12.88,64,0,6
5,2011,1,5,1,1,0,1,1,6.56,9.85,74,6.0032,6
5,2011,1,5,2,1,0,1,1,6.56,9.85,74,6.0032,2
5,2011,1,5,3,1,0,1,1,8.2,10.6075,61,10.50225,0
5,2011,1,5,4,1,0,1,1,9.84,11.365,48,15.0013,2
5,2011,1,5,5,1,0,1,1,9.02,11.365,47,11.0014,3
5,2011,1,5,6,1,0,1,1,8.2,9.85,47,15.0013,33
5,2011,1,5,7,1,0,1,1,7.38,9.09,43,12.998,88
5,2011,1,5,8,1,0,1,1,8.2,9.09,40,19.9995,195
5,2011,1,5,9,1,0,1,1,9.02,9.85,37,22.0028,115
5,2011,1,5,10,1,0,1,1,9.02,9.85,37,22.0028,57
5,2011,1,5,11,1,0,1,1,10.66,11.365,33,22.0028,46
5,2011,1,5,12,1,0,1,1,10.66,11.365,33,22.0028,79
5,2011,1,5,13,1,0,1,1,11.48,12.88,30,19.9995,71
5,2011,1,5,14,1,0,1,1,12.3,14.395,28,12.998,62
5,2011,1,5,15,1,0,1,1,12.3,14.395,28,12.998,62
5,2011,1,5,16,1,0,1,1,12.3,15.91,28,6.0032,89
5,2011,1,5,17,1,0,1,1,9.84,11.365,38,12.998,190
5,2011,1,5,18,1,0,1,1,9.84,12.12,38,8.9981,169
5,2011,1,5,19,1,0,1,1,9.84,12.88,38,7.0015,132
5,2011,1,5,20,1,0,1,1,9.02,11.365,47,11.0014,89
5,2011,1,5,21,1,0,1,1,8.2,9.85,51,12.998,43
5,2011,1,5,22,1,0,1,1,7.38,9.85,55,8.9981,42
5,2011,1,5,23,1,0,1,1,8.2,12.88,47,0,19
6,2011,1,6,0,1,0,1,1,7.38,12.12,55,0,11
6,2011,1,6,1,1,0,1,1,6.56,11.365,64,0,4
6,2011,1,6,2,1,0,1,1,6.56,11.365,64,0,2
6,2011,1,6,3,1,0,1,1.5,6.56,10.6075,64,3.0016,0
6,2011,1,6,4,1,0,1,2,6.56,9.85,64,6.0032,1
6,2011,1,6,5,1,0,1,2,5.74,9.09,69,6.0032,4
6,2011,1,6,6,1,0,1,2,5.74,8.335,63,7.0015,36
6,2011,1,6,7,1,0,1,2,6.56,11.365,59,0,95
6,2011,1,6,8,1,0,1,1,6.56,11.365,59,0,219
6,2011,1,6,9,1,0,1,2,7.38,12.12,51,0,122
6,2011,1,6,10,1,0,1,1,8.2,12.88,47,0,45
6,2011,1,6,11,1,0,1,1,9.02,12.88,44,6.0032,59
6,2011,1,6,12,1,0,1,1,10.66,14.395,35,0,84
6,2011,1,6,13,1,0,1,1,10.66,13.635,35,7.0015,67
6,2011,1,6,14,1,0,1,1,11.48,13.635,36,11.0014,70
6,2011,1,6,15,1,0,1,1,11.48,13.635,36,0,62
6,2011,1,6,16,1,0,1,1,10.66,12.88,38,11.0014,86
6,2011,1,6,17,1,0,1,1,9.02,11.365,51,11.0014,172
6,2011,1,6,18,1,0,1,1,9.02,11.365,51,8.9981,163
6,2011,1,6,19,1,0,1,1,9.02,12.88,55,6.0032,112
6,2011,1,6,20,1,0,1,1,8.2,10.605,51,11.0014,69
6,2011,1,6,21,1,0,1,2,9.02,10.605,55,15.0013,48
6,2011,1,6,22,1,0,1,2,9.02,10.605,51,19.0012,52
6,2011,1,6,23,1,0,1,2,8.2,9.85,59,12.998,23
7,2011,1,7,0,1,0,1,2,8.2,9.85,64,12.998,17
7,2011,1,7,1,1,0,1,2,8.2,9.85,69,15.0013,7
7,2011,1,7,2,1,0,1,2,8.2,9.85,69,15.0013,1
7,2011,1,7,3,1,0,1,2,8.2,10.2275,69,11.9997,0
7,2011,1,7,4,1,0,1,2,8.2,10.605,69,8.9981,1
7,2011,1,7,5,1,0,1,3,9.02,13.635,55,0,5
7,2011,1,7,6,1,0,1,2,8.2,12.88,69,0,34
7,2011,1,7,7,1,0,1,1,8.2,10.605,69,8.9981,84
7,2011,1,7,8,1,0,1,1,8.2,9.85,51,16.9979,210
7,2011,1,7,9,1,0,1,1,8.2,9.09,47,19.9995,134
7,2011,1,7,10,1,0,1,1,9.02,9.85,37,22.0028,63
7,2011,1,7,11,1,0,1,2,8.2,9.85,40,15.0013,67
7,2011,1,7,12,1,0,1,2,8.2,9.85,37,16.9979,59
7,2011,1,7,13,1,0,1,2,8.2,9.09,37,19.0012,73
7,2011,1,7,14,1,0,1,2,8.2,9.85,40,16.9979,50
7,2011,1,7,15,1,0,1,2,8.2,10.605,37,11.0014,72
7,2011,1,7,16,1,0,1,2,8.2,10.605,37,11.0014,87
7,2011,1,7,17,1,0,1,2,8.2,12.88,37,0,187
7,2011,1,7,18,1,0,1,1,8.2,11.365,40,6.0032,123
7,2011,1,7,19,1,0,1,1,6.56,9.85,55,6.0032,95
7,2011,1,7,20,1,0,1,1,7.38,10.605,47,7.0015,51
7,2011,1,7,21,1,0,1,1,7.38,9.85,47,8.9981,39
7,2011,1,7,22,1,0,1,2,7.38,9.85,43,11.0014,36
7,2011,1,7,23,1,0,1,2,7.38,9.85,51,11.0014,15
8,2011,1,8,0,1,0,0,2,7.38,9.85,51,11.0014,25
8,2011,1,8,1,1,0,0,2,7.38,10.605,55,6.0032,16
8,2011,1,8,2,1,0,0,2,7.38,12.12,55,0,16
8,2011,1,8,3,1,0,0,3,7.38,9.85,55,11.0014,7
8,2011,1,8,4,1,0,0,3,7.38,9.85,55,11.0014,1
8,2011,1,8,5,1,0,0,2,6.56,8.335,74,11.0014,5
8,2011,1,8,6,1,0,0,2,6.56,8.335,74,11.0014,2
8,2011,1,8,7,1,0,0,2,6.56,9.09,74,7.0015,9
8,2011,1,8,8,1,0,0,3,6.56,9.09,93,7.0015,15
8,2011,1,8,9,1,0,0,3,6.56,9.09,93,7.0015,20
8,2011,1,8,10,1,0,0,2,7.38,9.85,80,11.0014,61
8,2011,1,8,11,1,0,0,2,8.2,9.09,69,26.0027,62
8,2011,1,8,12,1,0,0,2,8.2,9.09,59,23.9994,98
8,2011,1,8,13,1,0,0,1,8.2,9.09,44,22.0028,102
8,2011,1,8,14,1,0,0,1,8.2,8.335,32,32.9975,95
8,2011,1,8,15,1,0,0,1,8.2,8.335,32,30.0026,74
8,2011,1,8,16,1,0,0,1,7.38,6.82,29,30.0026,76
8,2011,1,8,17,1,0,0,1,6.56,6.06,37,36.9974,69
8,2011,1,8,18,1,0,0,1,5.74,6.06,39,19.9995,55
8,2011,1,8,19,1,0,0,1,5.74,6.06,36,16.9979,30
8,2011,1,8,20,1,0,0,1,4.92,6.06,36,16.9979,28
8,2011,1,8,21,1,0,0,1,4.92,5.305,39,23.9994,37
8,2011,1,8,22,1,0,0,1,4.92,5.305,36,26.0027,34
8,2011,1,8,23,1,0,0,1,4.1,3.03,39,30.0026,22
9,2011,1,9,0,1,0,0,1,4.1,3.79,42,26.0027,25
9,2011,1,9,1,1,0,0,1,4.1,3.03,42,31.0009,12
9,2011,1,9,2,1,0,0,1,4.1,3.03,46,31.0009,11
9,2011,1,9,3,1,0,0,1,4.1,3.79,46,27.9993,4
9,2011,1,9,4,1,0,0,1,3.28,4.545,53,12.998,1
9,2011,1,9,5,1,0,0,1,3.28,4.545,53,12.998,1
9,2011,1,9,6,1,0,0,1,4.1,4.545,49,19.0012,1
9,2011,1,9,7,1,0,0,1,3.28,4.545,53,12.998,6
9,2011,1,9,8,1,0,0,1,4.1,4.545,49,19.0012,10
9,2011,1,9,9,1,0,0,1,4.92,3.79,46,35.0008,19
9,2011,1,9,10,1,0,0,1,5.74,5.305,43,26.0027,49
9,2011,1,9,11,1,0,0,1,6.56,6.06,40,35.0008,49
9,2011,1,9,12,1,0,0,1,7.38,6.82,37,30.0026,83
9,2011,1,9,13,1,0,0,1,8.2,8.335,34,30.0026,75
9,2011,1,9,14,1,0,0,1,9.02,9.09,32,31.0009,72
9,2011,1,9,15,1,0,0,1,9.02,9.85,35,23.9994,82
9,2011,1,9,16,1,0,0,1,8.2,8.335,34,30.0026,92
9,2011,1,9,17,1,0,0,1,7.38,7.575,37,26.0027,62
9,2011,1,9,18,1,0,0,1,6.56,6.82,40,22.0028,48
9,2011,1,9,19,1,0,0,1,6.56,6.82,43,22.0028,41
9,2011,1,9,20,1,0,0,1,5.74,6.06,46,16.9979,38
9,2011,1,9,21,1,0,0,1,5.74,5.305,46,27.9993,20
9,2011,1,9,22,1,0,0,1,5.74,6.06,46,19.9995,15
9,2011,1,9,23,1,0,0,1,4.92,6.82,50,12.998,6
10,2011,1,10,0,1,0,1,1,4.92,6.06,50,19.0012,5
10,2011,1,10,1,1,0,1,1,4.92,6.06,50,19.0012,1
10,2011,1,10,2,1,0,1,1,4.92,6.06,50,15.0013,3
10,2011,1,10,3,1,0,1,1,4.92,6.06,50,15.0013,1
10,2011,1,10,4,1,0,1,1,4.1,6.06,54,8.9981,3
10,2011,1,10,5,1,0,1,1,4.1,5.305,54,16.9979,3
10,2011,1,10,6,1,0,1,1,4.92,6.06,50,19.0012,31
10,2011,1,10,7,1,0,1,1,4.92,6.06,50,15.0013,77
10,2011,1,10,8,1,0,1,2,4.92,6.06,50,19.0012,188
10,2011,1,10,9,1,0,1,2,5.74,6.06,50,16.9979,94
10,2011,1,10,10,1,0,1,2,5.74,6.06,50,19.9995,31
10,2011,1,10,11,1,0,1,2,6.56,6.82,47,19.0012,30
10,2011,1,10,12,1,0,1,2,8.2,9.09,40,19.0012,52
10,2011,1,10,13,1,0,1,2,8.2,9.09,40,19.0012,54
10,2011,1,10,14,1,0,1,2,8.2,9.85,40,15.0013,47
10,2011,1,10,15,1,0,1,2,8.2,9.85,40,15.0013,45
10,2011,1,10,16,1,0,1,1,8.2,10.605,40,8.9981,74
10,2011,1,10,17,1,0,1,1,8.2,11.365,40,7.0015,178
10,2011,1,10,18,1,0,1,1,8.2,9.85,40,15.0013,155
10,2011,1,10,19,1,0,1,1,6.56,8.335,47,11.0014,95
10,2011,1,10,20,1,0,1,1,6.56,8.335,50,11.0014,74
10,2011,1,10,21,1,0,1,1,5.74,6.82,59,12.998,38
10,2011,1,10,22,1,0,1,1,5.74,7.575,59,11.0014,24
10,2011,1,10,23,1,0,1,1,5.74,7.575,59,11.0014,18
11,2011,1,11,0,1,0,1,1,5.74,8.335,59,7.0015,12
11,2011,1,11,1,1,0,1,1,5.74,7.575,59,11.0014,3
11,2011,1,11,2,1,0,1,2,6.56,7.575,55,12.998,3
11,2011,1,11,3,1,0,1,2,6.56,8.3325,55,10.99805,0
11,2011,1,11,4,1,0,1,2,6.56,8.3325,55,10.99805,0
11,2011,1,11,5,1,0,1,2,6.56,9.09,55,8.9981,6
11,2011,1,11,6,1,0,1,2,6.56,9.09,55,8.9981,27
11,2011,1,11,7,1,0,1,2,6.56,11.365,55,0,99
11,2011,1,11,8,1,0,1,2,7.38,10.605,51,6.0032,217
11,2011,1,11,9,1,0,1,2,7.38,9.85,51,11.0014,130
11,2011,1,11,10,1,0,1,2,8.2,10.605,51,11.0014,54
11,2011,1,11,11,1,0,1,2,8.2,10.605,47,8.9981,35
11,2011,1,11,12,1,0,1,2,8.2,11.365,51,7.0015,57
11,2011,1,11,13,1,0,1,2,8.2,11.365,59,6.0032,52
11,2011,1,11,14,1,0,1,2,8.2,11.365,59,6.0032,63
11,2011,1,11,15,1,0,1,2,6.56,9.85,80,6.0032,47
11,2011,1,11,16,1,0,1,2,6.56,7.575,86,15.0013,76
11,2011,1,11,17,1,0,1,2,6.56,7.575,86,15.0013,136
11,2011,1,11,18,1,0,1,3,6.56,9.09,93,7.0015,95
11,2011,1,11,19,1,0,1,3,6.56,11.365,93,0,51
11,2011,1,11,20,1,0,1,3,6.56,7.575,93,12.998,32
11,2011,1,11,21,1,0,1,3,6.56,9.85,86,6.0032,20
11,2011,1,11,22,1,0,1,3,6.56,9.09,93,7.0015,29
11,2011,1,11,23,1,0,1,3,6.56,9.85,93,6.0032,19
12,2011,1,12,0,1,0,1,2,6.56,9.85,86,6.0032,7
12,2011,1,12,1,1,0,1,2,6.56,9.09,86,7.0015,6
12,2011,1,12,2,1,0,1,1,5.74,7.575,86,8.9981,1
12,2011,1,12,3,1,0,1,1,5.74,7.575,86,9.99975,0
12,2011,1,12,4,1,0,1,1,5.74,7.575,86,9.99975,0
12,2011,1,12,5,1,0,1,1,5.74,7.575,86,11.0014,5
12,2011,1,12,6,1,0,1,1,4.92,7.575,93,8.9981,16
12,2011,1,12,7,1,0,1,1,5.74,7.575,69,8.9981,54
12,2011,1,12,8,1,0,1,1,6.56,8.335,59,11.0014,128
12,2011,1,12,9,1,0,1,1,6.56,6.82,59,22.0028,81
12,2011,1,12,10,1,0,1,1,7.38,9.09,55,15.0013,39
12,2011,1,12,11,1,0,1,1,8.2,9.09,51,26.0027,35
12,2011,1,12,12,1,0,1,1,8.2,7.575,47,39.0007,55
12,2011,1,12,13,1,0,1,1,9.02,9.85,44,23.9994,49
12,2011,1,12,14,1,0,1,1,8.2,9.09,47,22.0028,44
12,2011,1,12,15,1,0,1,1,8.2,8.335,47,27.9993,49
12,2011,1,12,16,1,0,1,1,9.02,9.85,44,22.0028,68
12,2011,1,12,17,1,0,1,1,8.2,9.09,47,23.9994,139
12,2011,1,12,18,1,0,1,1,8.2,7.575,47,35.0008,137
12,2011,1,12,19,1,0,1,1,7.38,7.575,47,27.9993,83
12,2011,1,12,20,1,0,1,1,6.56,6.82,50,22.0028,56
12,2011,1,12,21,1,0,1,1,6.56,6.82,55,22.0028,57
12,2011,1,12,22,1,0,1,1,6.56,6.06,55,30.0026,33
12,2011,1,12,23,1,0,1,1,5.74,5.305,59,27.9993,20
13,2011,1,13,0,1,0,1,1,5.74,6.06,59,19.0012,7
13,2011,1,13,1,1,0,1,1,5.74,6.06,50,19.0012,2
13,2011,1,13,2,1,0,1,1,5.74,6.06,50,23.9994,2
13,2011,1,13,3,1,0,1,1,5.74,6.06,50,22.0028,3
13,2011,1,13,4,1,0,1,1,5.74,6.06,50,16.9979,4
13,2011,1,13,5,1,0,1,1,5.74,6.06,50,19.9995,3
13,2011,1,13,6,1,0,1,1,4.92,7.575,54,8.9981,28
13,2011,1,13,7,1,0,1,1,4.92,7.575,54,8.9981,72
13,2011,1,13,8,1,0,1,1,5.74,6.82,50,12.998,202
13,2011,1,13,9,1,0,1,1,5.74,6.06,50,22.0028,139
13,2011,1,13,10,1,0,1,2,6.56,6.82,50,23.9994,38
13,2011,1,13,11,1,0,1,2,8.2,8.335,44,30.0026,37
13,2011,1,13,12,1,0,1,1,8.2,8.335,44,27.9993,52
13,2011,1,13,13,1,0,1,1,9.02,9.85,41,30.0026,83
13,2011,1,13,14,1,0,1,1,9.02,9.85,41,26.0027,42
13,2011,1,13,15,1,0,1,1,9.84,10.605,38,19.9995,60
13,2011,1,13,16,1,0,1,1,9.84,10.605,38,23.9994,78
13,2011,1,13,17,1,0,1,1,8.2,9.09,40,19.0012,162
13,2011,1,13,18,1,0,1,1,8.2,9.09,40,22.0028,144
13,2011,1,13,19,1,0,1,1,6.56,7.575,47,16.9979,99
13,2011,1,13,20,1,0,1,1,6.56,7.575,47,15.0013,64
13,2011,1,13,21,1,0,1,1,5.74,6.06,46,19.9995,40
13,2011,1,13,22,1,0,1,1,5.74,6.06,46,22.0028,30
13,2011,1,13,23,1,0,1,1,4.92,6.82,50,12.998,15
14,2011,1,14,0,1,0,1,1,4.92,6.82,50,12.998,14
14,2011,1,14,1,1,0,1,1,4.1,6.06,54,11.0014,5
14,2011,1,14,2,1,0,1,1,4.1,6.06,54,8.9981,1
14,2011,1,14,3,1,0,1,1,4.1,6.82,54,7.0015,1
14,2011,1,14,4,1,0,1,1,4.1,6.82,54,6.50235,0
14,2011,1,14,5,1,0,1,1,4.1,6.82,54,6.0032,8
14,2011,1,14,6,1,0,1,1,4.1,9.09,54,0,17
14,2011,1,14,7,1,0,1,1,4.1,6.06,74,11.0014,70
14,2011,1,14,8,1,0,1,1,4.92,8.335,68,0,158
14,2011,1,14,9,1,0,1,1,5.74,7.575,69,8.9981,117
14,2011,1,14,10,1,0,1,1,7.38,9.09,55,12.998,44
14,2011,1,14,11,1,0,1,1,7.38,8.335,51,19.0012,53
14,2011,1,14,12,1,0,1,1,8.2,9.85,44,16.9979,61
14,2011,1,14,13,1,0,1,1,9.02,9.85,37,26.0027,77
14,2011,1,14,14,1,0,1,1,9.02,10.605,41,19.0012,64
14,2011,1,14,15,1,0,1,1,9.84,12.12,38,11.0014,68
14,2011,1,14,16,1,0,1,1,9.02,12.12,41,7.0015,90
14,2011,1,14,17,1,0,1,1,9.02,11.365,41,11.0014,159
14,2011,1,14,18,1,0,1,1,8.2,12.88,47,0,139
14,2011,1,14,19,1,0,1,1,6.56,9.85,59,6.0032,92
14,2011,1,14,20,1,0,1,1,7.38,12.12,59,0,68
14,2011,1,14,21,1,0,1,1,6.56,11.365,69,0,52
14,2011,1,14,22,1,0,1,2,6.56,11.365,69,0,36
14,2011,1,14,23,1,0,1,2,7.38,12.12,55,0,27
15,2011,1,15,0,1,0,0,1,7.38,12.12,55,0,28
15,2011,1,15,1,1,0,0,2,6.56,9.85,59,6.0032,20
15,2011,1,15,2,1,0,0,2,6.56,9.85,59,6.0032,12
15,2011,1,15,3,1,0,0,2,6.56,11.365,59,0,8
15,2011,1,15,4,1,0,0,2,6.56,11.365,59,0,5
15,2011,1,15,5,1,0,0,1,6.56,11.365,59,0,1
15,2011,1,15,6,1,0,0,1,5.74,8.335,63,7.0015,3
15,2011,1,15,7,1,0,0,1,5.74,10.605,63,0,10
15,2011,1,15,8,1,0,0,1,5.74,7.575,63,8.9981,23
15,2011,1,15,9,1,0,0,1,6.56,9.09,64,8.9981,33
15,2011,1,15,10,1,0,0,1,7.38,9.85,59,11.0014,59
15,2011,1,15,11,1,0,0,1,8.2,9.85,55,15.0013,72
15,2011,1,15,12,1,0,0,1,9.84,11.365,48,15.0013,89
15,2011,1,15,13,1,0,0,1,11.48,12.88,38,19.9995,101
15,2011,1,15,14,1,0,0,1,12.3,14.395,39,19.0012,118
15,2011,1,15,15,1,0,0,2,13.12,15.91,36,12.998,129
15,2011,1,15,16,1,0,0,2,13.94,16.665,34,12.998,128
15,2011,1,15,17,1,0,0,2,13.12,15.15,36,19.0012,83
15,2011,1,15,18,1,0,0,2,12.3,14.395,45,16.9979,84
15,2011,1,15,19,1,0,0,2,13.12,15.15,39,16.9979,74
15,2011,1,15,20,1,0,0,2,13.12,15.15,39,16.9979,41
15,2011,1,15,21,1,0,0,2,13.12,15.15,39,15.0013,57
15,2011,1,15,22,1,0,0,2,12.3,15.91,42,7.0015,26
15,2011,1,15,23,1,0,0,1,12.3,14.395,45,19.0012,44
32,2011,2,1,0,1,0,1,2,6.56,9.09,64,7.0015,8
32,2011,2,1,1,1,0,1,2,6.56,9.09,69,7.0015,3
32,2011,2,1,2,1,0,1,2,6.56,11.365,69,0,2
32,2011,2,1,3,1,0,1,2,6.56,11.365,69,0,2
32,2011,2,1,4,1,0,1,2.5,6.15,10.985,81,0,0
32,2011,2,1,5,1,0,1,3,5.74,10.605,93,0,3
32,2011,2,1,6,1,0,1,3,5.74,10.605,93,0,22
32,2011,2,1,7,1,0,1,3,6.56,11.365,93,0,52
32,2011,2,1,8,1,0,1,3,6.56,11.365,93,0,135
32,2011,2,1,9,1,0,1,2,6.56,11.365,93,0,116
32,2011,2,1,10,1,0,1,2,6.56,11.365,93,0,47
32,2011,2,1,11,1,0,1,2,7.38,12.12,86,0,51
32,2011,2,1,12,1,0,1,2,8.2,12.88,86,0,55
32,2011,2,1,13,1,0,1,2,8.2,12.88,86,0,52
32,2011,2,1,14,1,0,1,2,9.02,12.88,80,6.0032,54
32,2011,2,1,15,1,0,1,2,9.84,14.395,75,0,52
32,2011,2,1,16,1,0,1,2,9.84,12.12,75,8.9981,64
32,2011,2,1,17,1,0,1,2,9.84,14.395,75,0,176
32,2011,2,1,18,1,0,1,2,9.84,12.88,81,7.0015,168
32,2011,2,1,19,1,0,1,2,9.84,12.12,81,8.9981,108
32,2011,2,1,20,1,0,1,2,9.02,11.365,87,8.9981,74
32,2011,2,1,21,1,0,1,2,9.02,11.365,87,8.9981,64
32,2011,2,1,22,1,0,1,2,9.02,12.88,87,6.0032,36
32,2011,2,1,23,1,0,1,3,8.2,9.85,93,12.998,16
33,2011,2,2,0,1,0,1,3,9.02,12.12,93,7.0015,2
33,2011,2,2,1,1,0,1,3,9.02,11.365,93,12.998,3
33,2011,2,2,2,1,0,1,3,9.02,11.365,93,8.9981,4
33,2011,2,2,3,1,0,1,3,9.02,11.365,93,8.9981,1
33,2011,2,2,4,1,0,1,3,9.02,10.605,93,19.0012,1
33,2011,2,2,5,1,0,1,3,9.02,12.12,93,7.0015,3
33,2011,2,2,6,1,0,1,3,9.02,12.12,93,7.0015,18
